name,category,description,address,city,country,phone,email,website,is_active,is_featured,is_verified,owner
Global Employment Linz,Employment,Premier recruitment firm specializing in executive and management level positions.,887 Central Avenue,Linz,Austria,+43 641277817,contact@globalemploymen.com,https://www.global-employment-li.com,True,False,True,1
Linz Sales Careers,Employment,"Employment consultancy specializing in finance, banking, and accounting careers.",720 Linz Plaza,Linz,Austria,+43 418080879,contact@linzsalescareer.com,https://www.linz-sales-careers.com,True,False,False,1
International Careers Austria,Employment,Professional employment agency specializing in permanent and temporary placements across multiple industries.,355 Salzburg Center,Salzburg,Austria,+43 591093357,contact@internationalca.com,https://www.international-career.com,True,False,True,1
Human Capital Vienna,Employment,Comprehensive employment services including career counseling and job placement.,857 Commercial Street,Vienna,Austria,+43 588978732,contact@humancapitalvie.com,https://www.human-capital-vienna.com,True,False,True,1
Interim Staffing Innsbruck,Employment,Employment agency specializing in legal profession recruitment and placement services.,730 Commercial Street,Innsbruck,Austria,+43 544081220,contact@interimstaffing.com,https://www.interim-staffing-inn.com,True,False,False,1
Linz Career Center,Employment,Executive recruitment firm serving multinational corporations and SMEs.,935 Business Street,Linz,Austria,+43 946890118,contact@linzcareercente.com,https://www.linz-career-center.com,True,False,True,1
Medical Staff Austria,Employment,"Employment consultancy specializing in finance, banking, and accounting careers.",814 Business Street,Vienna,Austria,+43 987190146,contact@medicalstaffaus.com,https://www.medical-staff-austri.com,True,False,True,1
Workforce Solutions Innsbruck,Employment,Leading recruitment consultancy connecting talented professionals with top employers in the region.,621 Jobs Road,Innsbruck,Austria,+43 868992059,contact@workforcesoluti.com,https://www.workforce-solutions-.com,True,False,False,1
Staffing Excellence Austria,Employment,Executive recruitment firm serving multinational corporations and SMEs.,589 Staffing Road,Vienna,Austria,+43 521570290,contact@staffingexcelle.com,https://www.staffing-excellence-.com,True,False,True,1
Finance Careers Linz,Employment,International career services helping professionals find opportunities across Europe.,231 Central Avenue,Linz,Austria,+43 905511406,contact@financecareersl.com,https://www.finance-careers-linz.com,True,False,True,1
Cross-Border Jobs Innsbruck,Employment,International career services helping professionals find opportunities across Europe.,265 Premier Avenue,Innsbruck,Austria,+43 937102271,contact@crossborderjobs.com,https://www.cross-border-jobs-in.com,True,True,True,1
Flexible Work Austria,Employment,International staffing company providing workforce solutions across European markets.,30 Business Street,Linz,Austria,+43 945188333,contact@flexibleworkaus.com,https://www.flexible-work-austri.com,True,True,True,1
