candidate_name,city,country,category,short_factual_description,address,phone,website,existing_business_id,existing_tier,review_status,notes
Mercado Portugal,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Auto Reparadora,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Restaurant Novo SLB,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Café Espigueiro,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Estrela do Mar,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
A Grelha,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Tasca Mobiel,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
De Garaasj,Antwerp,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Resto Luso,Anderlecht,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Prim Land,Anderlecht,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Au Chateau d'Or,Anderlecht,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Café Asturiano,Anderlecht,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
Boulangerie de Quartier,Anderlecht,Belgium,,,,,,,,candidate_needs_verification,"No local duplicate found; verify public facts before import"
