city_slug,source_id,name,category_slug,category_source,address,postal_code,latitude,longitude,phone,website,social_url,website_status,source_timestamp,duplicate_status,duplicate_reason,review_reason,raw_tags
ixelles,osm:node/27269823,Victoire,pharmacy,amenity=pharmacy,,,50.8313153,4.347231,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Victoire""}"
ixelles,osm:node/231403522,Regniers,pharmacy,amenity=pharmacy,,,50.8322047,4.3522097,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Regniers""}"
ixelles,osm:node/231405868,multiPharma,pharmacy,amenity=pharmacy,,,50.8305121,4.345792,,https://www.multipharma.be,,WEBSITE_PRESENT,2026-08-19T11:30:10.603970+00:00,existing_duplicate,"source id, name/address, phone, or website matched existing listing",,"{""amenity"": ""pharmacy"", ""brand"": ""Multipharma"", ""healthcare"": ""pharmacy"", ""name"": ""multiPharma"", ""operator"": ""multiPharma"", ""website"": ""https://www.multipharma.be""}"
ixelles,osm:node/234494737,Panam,restaurant,amenity=restaurant,,,50.8240271,4.3593328,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""restaurant"", ""name"": ""Panam""}"
ixelles,osm:node/234524306,L'Ultime Atome,restaurant,amenity=restaurant,,,50.8359295,4.3644108,+32 2 513 48 84,https://www.ultimeatome.be,UltimeAtome.be,WEBSITE_PRESENT,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""restaurant"", ""contact:facebook"": ""UltimeAtome.be"", ""contact:instagram"": ""_ultime_atome_"", ""contact:phone"": ""+32 2 513 48 84"", ""contact:website"": ""https://www.ultimeatome.be"", ""name"": ""L'Ultime Atome""}"
ixelles,osm:node/234524310,Le clan des Belges,restaurant,amenity=restaurant,,,50.8356075,4.3648084,+32 2 511 11 21,https://www.leclandesbelges.be,,WEBSITE_PRESENT,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""restaurant"", ""contact:phone"": ""+32 2 511 11 21"", ""contact:website"": ""https://www.leclandesbelges.be"", ""name"": ""Le clan des Belges""}"
ixelles,osm:node/234527383,Outlet Store,clothing-store,shop=clothes,,,50.8371469,4.3621016,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""name"": ""Outlet Store"", ""shop"": ""clothes""}"
ixelles,osm:node/240749706,Le Chaff,bars-pubs,amenity=pub,,,50.8375152,4.3457359,,,bistrolechaff,SOCIAL_ONLY,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""pub"", ""contact:facebook"": ""bistrolechaff"", ""name"": ""Le Chaff""}"
ixelles,osm:node/251008442,Roxi,bars-pubs,amenity=pub,,,50.8256727,4.3600852,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""pub"", ""name"": ""Roxi""}"
ixelles,osm:node/257507795,Carrefour Market,supermarkets,shop=supermarket,,,50.8173522,4.3642073,,https://magasins.carrefour.eu/fr/s/carrefour/carrefour-market-moliere/142,,WEBSITE_PRESENT,2026-08-19T11:30:10.603970+00:00,clean,,,"{""brand"": ""Carrefour Market"", ""name"": ""Carrefour Market"", ""operator"": ""Groupe Carrefour"", ""shop"": ""supermarket"", ""website"": ""https://magasins.carrefour.eu/fr/s/carrefour/carrefour-market-moliere/142""}"
ixelles,osm:node/288781222,Bio-Planet,supermarkets,shop=supermarket,,,50.8298304,4.3443178,+32 2 616 78 93,https://www.bioplanet.be/fr/magasins/4000,,WEBSITE_PRESENT,2026-08-19T11:30:10.603970+00:00,existing_duplicate,"source id, name/address, phone, or website matched existing listing",,"{""brand"": ""Bio-Planet"", ""contact:phone"": ""+32 2 616 78 93"", ""contact:website"": ""https://www.bioplanet.be/fr/magasins/4000"", ""name"": ""Bio-Planet"", ""operator"": ""Colruyt Group"", ""shop"": ""supermarket""}"
ixelles,osm:node/306122013,Mamma Roma,restaurant,amenity=restaurant,,,50.8275767,4.3711196,+32 2 640 42 80,https://www.mammaroma.com,,WEBSITE_PRESENT,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""restaurant"", ""contact:phone"": ""+32 2 640 42 80"", ""contact:website"": ""https://www.mammaroma.com"", ""name"": ""Mamma Roma""}"
ixelles,osm:node/331952984,Le Chineur,bars-pubs,amenity=pub,,,50.83753,4.3465478,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""pub"", ""name"": ""Le Chineur""}"
ixelles,osm:node/344699790,Brüt by Färm Jourdan,supermarkets,shop=supermarket,,,50.835799,4.3808602,+32 2 899 26 80,https://stores.farm.coop/fr/brut-by-farm-jourdan,,WEBSITE_PRESENT,2026-08-19T11:30:10.603970+00:00,clean,,,"{""brand"": ""Brut by Färm"", ""contact:phone"": ""+32 2 899 26 80"", ""contact:website"": ""https://stores.farm.coop/fr/brut-by-farm-jourdan"", ""name"": ""Brüt by Färm Jourdan"", ""operator"": ""Färm"", ""shop"": ""supermarket""}"
ixelles,osm:node/344793569,Scandic Hair,beauty-salon,shop=hairdresser,,,50.8352942,4.3874637,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""name"": ""Scandic Hair"", ""shop"": ""hairdresser""}"
ixelles,osm:node/344847064,Neuf Neuf Dragon,fast-food,amenity=fast_food,,,50.8358731,4.3875467,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""fast_food"", ""name"": ""Neuf Neuf Dragon""}"
ixelles,osm:node/344923183,Van Innis,pharmacy,amenity=pharmacy,,,50.8328133,4.3824412,,,,NO_WEBSITE,2026-08-19T11:30:10.603970+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Van Innis""}"
