city_slug,source_id,name,category_slug,category_source,address,postal_code,latitude,longitude,phone,website,social_url,website_status,source_timestamp,duplicate_status,duplicate_reason,review_reason,raw_tags
brussels,osm:node/354096580,Brussels Lumber Yard,,shop=hardware,,,38.9529197,-90.5981026,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,no confident canonical category mapping,"{""name"": ""Brussels Lumber Yard"", ""shop"": ""hardware""}"
brussels,osm:node/6751165017,Red & White Grocery,supermarkets,shop=supermarket,,,38.9494292,-90.5876177,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,,"{""name"": ""Red & White Grocery"", ""shop"": ""supermarket""}"
brussels,osm:node/6751165019,Whittmonds,restaurant,amenity=restaurant,,,38.9466911,-90.584443,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,,"{""amenity"": ""restaurant"", ""name"": ""Whittmonds""}"
brussels,osm:node/6751165020,AJ's Bar and Grill,restaurant,amenity=restaurant,,,38.9492921,-90.586965,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,,"{""amenity"": ""restaurant"", ""name"": ""AJ's Bar and Grill""}"
brussels,osm:node/6751165021,Fitness Center,gym,leisure=fitness_centre,,,38.9461031,-90.5878782,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,,"{""leisure"": ""fitness_centre"", ""name"": ""Fitness Center""}"
brussels,osm:node/6751192714,Catholic Church,,amenity=place_of_worship,,,38.9489498,-90.5878731,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""place_of_worship"", ""name"": ""Catholic Church""}"
brussels,osm:node/6751192715,Catholic School,,office=religion,,,38.9489146,-90.588473,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,no confident canonical category mapping,"{""name"": ""Catholic School"", ""office"": ""religion""}"
brussels,osm:node/6751192750,Old Point Pub,bars-pubs,amenity=pub,,,38.948334,-90.5859249,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,,"{""amenity"": ""pub"", ""name"": ""Old Point Pub""}"
brussels,osm:node/6751192761,Brussels School Gym,,leisure=pitch,,,38.9485557,-90.5886295,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,no confident canonical category mapping,"{""leisure"": ""pitch"", ""name"": ""Brussels School Gym""}"
brussels,osm:node/6753937466,Village Consignments,,shop=gift,,,38.9477933,-90.5853553,,,,NO_WEBSITE,2026-08-19T11:22:46.512558+00:00,clean,,no confident canonical category mapping,"{""name"": ""Village Consignments"", ""shop"": ""gift""}"
