city_slug,source_id,name,category_slug,category_source,address,postal_code,latitude,longitude,phone,website,social_url,website_status,source_timestamp,duplicate_status,duplicate_reason,review_reason,raw_tags
anderlecht,osm:node/335698178,Colruyt Professionals,,shop=wholesale,,,50.847451,4.3080306,+32 2 616 70 01,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""contact:phone"": ""+32 2 616 70 01"", ""name"": ""Colruyt Professionals"", ""shop"": ""wholesale""}"
anderlecht,osm:node/346270002,Arche de la gloire de l'Éternel,,amenity=place_of_worship,,,50.8416926,4.3181802,,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""place_of_worship"", ""name"": ""Arche de la gloire de l'Éternel""}"
anderlecht,osm:node/346652120,Masjid Assounnah,,amenity=place_of_worship,,,50.8425249,4.3334977,,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""place_of_worship"", ""name"": ""Masjid Assounnah""}"
anderlecht,osm:node/348128584,Selfpharma,pharmacy,amenity=pharmacy,,,50.8392112,4.3356163,+32 2 520 66 55,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,,"{""amenity"": ""pharmacy"", ""contact:phone"": ""+32 2 520 66 55"", ""healthcare"": ""pharmacy"", ""name"": ""Selfpharma""}"
anderlecht,osm:node/364842363,Maison Médicale Saint-Guidon,,amenity=clinic;healthcare=clinic,,,50.8351469,4.3079854,,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Maison Médicale Saint-Guidon""}"
anderlecht,osm:node/364842364,Beobank,,amenity=bank,,,50.8350845,4.3088998,+32 2 521 94 04,https://www.beobank.be/fr/particulier/pos/beobank-anderlecht,,WEBSITE_PRESENT,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""bank"", ""brand"": ""Beobank"", ""contact:phone"": ""+32 2 521 94 04"", ""contact:website"": ""https://www.beobank.be/fr/particulier/pos/beobank-anderlecht"", ""name"": ""Beobank""}"
anderlecht,osm:node/364842367,Benoît Bodson,,office=notary,,,50.8350047,4.3065607,+32 2 521 50 32,https://www.notaire.be/Notaire/benoit-bodson,,WEBSITE_PRESENT,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""contact:phone"": ""+32 2 521 50 32"", ""contact:website"": ""https://www.notaire.be/Notaire/benoit-bodson"", ""name"": ""Benoît Bodson"", ""office"": ""notary""}"
anderlecht,osm:node/364842368,Belfius,,amenity=bank,,,50.8351273,4.3064752,,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""bank"", ""brand"": ""Belfius"", ""name"": ""Belfius""}"
anderlecht,osm:node/417830048,Minhaj-ul-Quran International Belgium (Brussels),,amenity=place_of_worship,,,50.836631,4.3317382,,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""place_of_worship"", ""name"": ""Minhaj-ul-Quran International Belgium (Brussels)""}"
anderlecht,osm:node/417836059,ASBL Maison des Jeunes BIF Anderlecht Gençilik Subesi,,amenity=community_centre,,,50.8379227,4.3289722,,https://fibif.be/,,WEBSITE_PRESENT,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""community_centre"", ""name"": ""ASBL Maison des Jeunes BIF Anderlecht Gençilik Subesi"", ""website"": ""https://fibif.be/""}"
anderlecht,osm:node/427873053,Mosquée El Ghofrane,,amenity=place_of_worship,,,50.8430165,4.3127436,,,,NO_WEBSITE,2026-08-15T10:02:32.711791+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""place_of_worship"", ""name"": ""Mosquée El Ghofrane""}"
