city_slug,source_id,name,category_slug,category_source,address,postal_code,latitude,longitude,phone,website,social_url,website_status,source_timestamp,duplicate_status,duplicate_reason,review_reason,raw_tags
antwerp,osm:node/60261478,Kempischdok,,leisure=marina,,,51.2336742,4.415497,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""leisure"": ""marina"", ""name"": ""Kempischdok""}"
antwerp,osm:node/60261479,Jachthaven Willemdok,,leisure=marina,Godefriduskaai 99,2000,51.2287714,4.4085424,+32 3 231 50 66,https://jachthaven-antwerpen.be/willemdok.html,,WEBSITE_PRESENT,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""addr:housenumber"": ""99"", ""addr:postcode"": ""2000"", ""addr:street"": ""Godefriduskaai"", ""leisure"": ""marina"", ""name"": ""Jachthaven Willemdok"", ""phone"": ""+32 3 231 50 66"", ""website"": ""https://jachthaven-antwerpen.be/willemdok.html""}"
antwerp,osm:node/89377140,@The Park,cafe,amenity=cafe,,,51.1973745,4.4631918,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""cafe"", ""name"": ""@The Park""}"
antwerp,osm:node/208539990,Groenplaats,,amenity=parking_entrance,,,51.2195582,4.4022785,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""parking_entrance"", ""name"": ""Groenplaats"", ""operator"": ""Vinci""}"
antwerp,osm:node/221597488,St. Jacob,,amenity=parking_entrance,,,51.2200274,4.4146109,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""parking_entrance"", ""name"": ""St. Jacob""}"
antwerp,osm:node/221599316,Groenplaats,,amenity=parking_entrance,,,51.2189178,4.4013095,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""parking_entrance"", ""name"": ""Groenplaats""}"
antwerp,osm:node/247308726,Albert Heijn,supermarkets,shop=supermarket,Groenplaats 43,2000,51.2183465,4.4015387,+32 3269 1010,https://www.ah.be/winkel/3138,,WEBSITE_PRESENT,2026-08-15T10:00:07.461564+00:00,clean,,,"{""addr:housenumber"": ""43"", ""addr:postcode"": ""2000"", ""addr:street"": ""Groenplaats"", ""brand"": ""Albert Heijn"", ""name"": ""Albert Heijn"", ""phone"": ""+32 3269 1010"", ""shop"": ""supermarket"", ""website"": ""https://www.ah.be/winkel/3138""}"
antwerp,osm:node/247308925,bpost Quellin,,amenity=post_office,Quellinstraat 8,,51.2173605,4.416317,+32 2 201 23 45,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""addr:housenumber"": ""8"", ""addr:street"": ""Quellinstraat"", ""amenity"": ""post_office"", ""name"": ""bpost Quellin"", ""operator"": ""bpost"", ""phone"": ""+32 2 201 23 45""}"
antwerp,osm:node/247528899,UGC,,amenity=cinema,,,51.218372,4.4175344,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""cinema"", ""brand"": ""UGC"", ""name"": ""UGC""}"
antwerp,osm:node/247670998,Stedelijke Bibliotheek Permeke,,amenity=library,,,51.2217888,4.421477,+32 3 221 13 33,https://www.permeke.org/bibliotheek,,WEBSITE_PRESENT,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""library"", ""name"": ""Stedelijke Bibliotheek Permeke"", ""phone"": ""+32 3 221 13 33"", ""website"": ""https://www.permeke.org/bibliotheek""}"
antwerp,osm:node/247670999,Erfgoedbibliotheek Hendrik Conscience,,amenity=library,,,51.2204279,4.4040668,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""library"", ""name"": ""Erfgoedbibliotheek Hendrik Conscience""}"
antwerp,osm:node/247681423,Hoboken,,amenity=ferry_terminal,,,51.1754538,4.3303278,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""ferry_terminal"", ""name"": ""Hoboken"", ""operator"": ""VLOOT""}"
antwerp,osm:node/248016652,Borgerhout Kattenberg,,amenity=post_office,,,51.2148838,4.4373846,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""post_office"", ""name"": ""Borgerhout Kattenberg""}"
antwerp,osm:node/248028187,Lillo,,amenity=ferry_terminal,,,51.3022432,4.2865038,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""ferry_terminal"", ""name"": ""Lillo""}"
antwerp,osm:node/248701820,Apotheek Roosevelt,pharmacy,amenity=pharmacy,,,51.2196979,4.41493,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Apotheek Roosevelt""}"
antwerp,osm:node/248701898,Apotheek Krols,pharmacy,amenity=pharmacy,,,51.2249239,4.4097546,,https://apotheek-krols.business.site,,WEBSITE_PRESENT,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Apotheek Krols"", ""website"": ""https://apotheek-krols.business.site""}"
antwerp,osm:node/248702004,Shipping Dispensary,pharmacy,amenity=pharmacy,,,51.2267041,4.414979,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""Shipping Dispensary"", ""operator"": ""AFS""}"
antwerp,osm:node/248777638,Astridplein,,amenity=parking_entrance,,,51.2180904,4.4206694,,,,NO_WEBSITE,2026-08-15T10:00:07.461564+00:00,clean,,no confident canonical category mapping,"{""amenity"": ""parking_entrance"", ""name"": ""Astridplein""}"
